,Bildtitel,Bildtitel: sorbisch,Nummer des Digitalisats,Fotograf,Bildbeschreibung,Ort sorbisch / Ort deutsch,Bildrechteinhaber,Größe der Original- bzw. Digitalisierungsvorlage,Datum der Aufnahme,Bundesland
52,Frau mit Seilerrad in Bluno,,053472.jpg,"Nawka, Blasius (Nawka, Błažij)",Frau mit Seilerrad (sukadło),Bluń / Bluno,Sorbisches Institut Bautzen,13x18,1967-08-27 00:00:00,Sachsen
53,Frau mit Seilerrad in Bluno,,053473.jpg,"Nawka, Blasius (Nawka, Błažij)",Frau mit Seilerrad (sukadło),Bluń / Bluno,Sorbisches Institut Bautzen,13x18,1967-08-27 00:00:00,Sachsen
54,Flachsbearbeitung im Spreewald,,053474.jpg,Foto Steffen (Burg),Flachsbrechen,Błóta / Spreewald,Sorbisches Institut Bautzen,11x15,1900,Brandenburg
55,Frau am Spinnrad bei Hoyerswerda,,053475.jpg,"Rabovsky, Wilfried (Wilthen)",,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,12x17,um 1970,Sachsen
56,Flachsbearbeitung,,053476.jpg,"Wehak, Max (Seidewinkel)",Auf einem Schwingeblock wird Flachs geschwungen.,Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
57,Frau am Spinnrad in Seidewinkel,,053477.jpg,"Wehak, Max (Seidewinkel)",,Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
58,"Spinnrad in Seidewinkel, Detail",,053478.jpg,"Wehak, Max (Seidewinkel)",Spinnrad: Rocken mit Spinnfaden.,Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
59,"Spinnrad in Seidewinkel, Detail",,053479.jpg,"Wehak, Max (Seidewinkel)",Spinnrad: Spindel und Spule mit Spinnfaden.,Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
60,"Spinnrad in Seidewinkel, Detail",,053481.jpg,"Wehak, Max (Seidewinkel)",Spinnrad: Rocken und Spindel,Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
61,Vorbereitung für das Spinnen am Spinnrad in Seidewinkel,,053482.jpg,"Wehak, Max (Seidewinkel)",Aufstecken des Flachsknäuels auf den Rocken,Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
62,"Spinnrad in Seidewinkel, Detail",,053483.jpg,"Wehak, Max (Seidewinkel)",Spinnrad: Spule und Spindel,Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
63,"Spinnrad in Seidewinkel, Detail",,053484.jpg,"Wehak, Max (Seidewinkel)","Spinnrad: Schwungrad, Spule und Spindel",Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
64,Spinnen mit dem Spinnrad,,053485.jpg,"Wehak, Max (Seidewinkel)",Spinnrad: Aufspulen des Fadens durch das Einzugsloch,Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
65,Frau am Spinnrad in Seidewinkel,,053486.jpg,"Wehak, Max (Seidewinkel)",,Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
66,Flachsverarbeitung in Seidewinkel,,053487.jpg,"Wehak, Max (Seidewinkel)",Flachs hecheln (wochlować),Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
67,Flachsverarbeitung in Seidewinkel,,053488.jpg,"Wehak, Max (Seidewinkel)",Flachs hecheln (wochlować),Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
68,Flachsverarbeitung in Seidewinkel,,053489.jpg,"Wehak, Max (Seidewinkel)",Flachshechel (wochla),Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
69,Flachsverarbeitung in Seidewinkel,,053490.jpg,"Wehak, Max (Seidewinkel)",Flachsbrechen,Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1930,Sachsen
70,Flachsbearbeitung im Spreewald,,053494.jpg,Foto Steffen (Burg),Brechen und Schwingen von Flachs,Bórkowy / Burg-Spreewald,Sorbisches Institut Bautzen,11x15,1900,Brandenburg
71,Spinnvorbereitung in Seidewinkel,,053496.jpg,"Wehak, Max (Seidewinkel)",Vorbereitung des Faserknäuels zum Aufstecken auf den Spinnrocken.,Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
72,Spinnvorbereitung in Seidewinkel,,053497.jpg,"Wehak, Max (Seidewinkel)",Vorbereitung des Faserknäuels zum Aufstecken auf den Spinnrocken.,Židźino / Seidewinkel,Sorbisches Institut Bautzen,13x18,um 1935,Sachsen
73,Spinnrad in Rohne,,053498.jpg,"Schmidt, Ernst (Kowar, Arnošt)",,Rowno / Rohne,Sorbisches Institut Bautzen,13x18,1980,Sachsen
74,Flachsverarbeitung in Papitz,,053499.jpg,"Metzner, Carl","""Flachsbäken"".",Popojce / Papitz,Sorbisches Institut Bautzen,13x18,keine Angabe,Brandenburg
75,Flachsgarben auf einem Feld bei Neustadt,Lenowe snopy na polu blisko Noweho Města,056335.jpg,"Tschernik, Ernst",,Nowe Město / Neustadt,Sorbisches Institut Bautzen,,1954,
76,Frau am Spinnrad,Žony při předźenju,057657.jpg,"Dallmann, A.",,Groß Partwitz/ Parcow,Sorbisches Institut Bautzen,,1967-06-27 00:00:00,Sachsen
77,Frau am Schwingeblock bearbeitet Flachs,Žona při woćepawje wobdźěła len,MS XLVII 3 E Wojerowska drasta_005.jpg,Unbekannter Fotograf,,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,,,Sachsen
78,Frau am Spulrad,Žona při sukadle,MS XLVII 3 E Wojerowska drasta_008.jpg,Unbekannter Fotograf,,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,,,Sachsen
79,Frauen am Spinnrad,Žony při předźenju,MS XLVII 3 E Wojerowska drasta_014-015.jpg,Unbekannter Fotograf,,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,,,Sachsen
80,Spinnrad als Beiwerk im Fotoatelier,,MS XLVII 3 C_Delnjoluziska drasta_ 001.jpg,Unbekannter Fotograf,,Delnja Łužica / Niederlausitz,Sorbisches Institut Bautzen,,keine Angabe,Brandenburg
81,Frauen einer Spinnstube posieren für ein Bild,,MS XLVII 3 C_Delnjoluziska drasta_ 004.jpg,Unbekannter Fotograf,,Delnja Łužica / Niederlausitz,Sorbisches Institut Bautzen,,keine Angabe,Brandenburg
82,Spinnrad als Beiwerk im Fotoatelier,,MS XLVII 3 C_Delnjoluziska drasta_ 005.jpg,Unbekannter Fotograf,,Delnja Łužica / Niederlausitz,Sorbisches Institut Bautzen,,keine Angabe,Brandenburg
83,Vorführung des Spinnen im Rahmen einer Ausstellung,Hana Bejmina z Wojerec předstaja předźenje,bz_hei-kb_0008472.jpg,"Heine, Kurt",,,Sorbisches Institut Bautzen,,um 1953,Sachsen
84,Vorführung des Webens im Rahmen einer Ausstellung,"Jan Wjacławk, krawcowski mišter serbskich narodnych drastow, pokazuje tkanje na jednej serbskej wustajeńcy we Wojorecach",bz_hei-kb_0008474.jpg,"Heine, Kurt",,,Sorbisches Institut Bautzen,,um 1953,Sachsen
85,Frau in Hoyerswerdaer Tracht mit Kind am Webstuhl,Serbowka z dźěćom při tkanju pola Wojerec,Heine_16724.jpg,"Heine, Kurt",,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,,,Sachsen
86,Frau in Hoyerswerdaer Tracht am Webstuhl,Serbowka při tkanju pola Wojerec,bz_hei-kb_0016726.jpg,"Heine, Kurt",,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,,,Sachsen
